Taxa	AphanoRRI
HM001	2.75028253393632
HM002	0.950282533936285
HM006	2.05028253393632
HM010	2.00028253393633
HM012	2.40028253393631
HM016	1.90028253393632
HM026	1.25028253393633
HM027	1.46903253393632
HM036	1.75028253393633
HM039	2.90028253393633
HM040	3.00028253393634
HM041	3.1427825339363
HM042	1.15028253393635
HM043	3.14181324899271
HM044	2.85028253393631
HM045	2.40028253393632
HM046	2.45028253393632
HM047	0.73778253393632
HM048	2.90028253393633
HM049	1.81278253393633
HM050	3.2377825339363
HM051	2.80028253393633
HM052	2.50028253393632
HM053	1.72528253393632
HM054	3.05028253393629
HM055	2.72528253393632
HM056	0.900282533936312
HM057	2.40028253393632
HM058	1.05028253393631
HM059	3.3377825339363
HM060	3.0377825339363
HM061	2.75028253393632
HM062	1.3127825339363
HM063	1.45028253393632
HM064	1.00028253393634
HM065	1.55028253393631
HM066	2.85028253393631
HM067	1.15028253393632
HM068	1.50028253393631
HM069	0.900282533936336
HM070	2.80028253393631
HM071	2.66778253393632
HM072	0.900282533936319
HM073	1.00028253393635
HM074	1.70028253393632
HM075	2.25028253393632
HM076	3.25028253393632
HM077	2.60028253393632
HM078	3.01278253393632
HM079	1.35028253393631
HM080	1.15028253393633
HM081	2.05028253393632
HM082	0.900282533936316
HM083	1.55028253393633
HM084	3.00028253393633
HM085	2.85028253393634
HM086	2.62528253393631
HM087	3.36278253393631
HM088	2.67528253393632
HM089	3.25028253393632
HM090	NA
HM091	3.09528253393632
HM092	2.80028253393632
HM093	3.05028253393633
HM094	NA
HM095	1.90028253393632
HM096	0.750282533936351
HM097	1.5002825339363
HM098	2.60028253393633
HM099	1.85028253393632
HM103	NA
HM104	NA
HM105	1.05028253393633
HM106	3.15028253393632
HM107	1.65028253393632
HM108	1.30028253393632
HM109	1.05028253393633
HM110	NA
HM111	2.90028253393632
HM112	2.55028253393632
HM113	NA
HM114	3.59528253393631
HM115	3.03778253393633
HM116	NA
HM117	1.2502825339363
HM118	1.35028253393632
HM119	2.30028253393632
HM120	1.70028253393633
HM121	3.27028253393633
HM122	2.37528253393632
HM123	NA
HM124	NA
HM125	1.85028253393632
HM126	2.58778253393631
HM127	1.96278253393632
HM128	0.725282533936303
HM129	2.27528253393632
HM130	2.65028253393631
HM131	3.10028253393632
HM132	NA
HM133	3.18278253393632
HM134	3.00028253393632
HM135	2.90028253393632
HM136	NA
HM137	NA
HM138	2.47528253393632
HM139	2.40028253393632
HM140	NA
HM141	2.16778253393632
HM142	NA
HM143	1.61278253393631
HM144	NA
HM145	3.40028253393631
HM146	2.67528253393632
HM147	2.70028253393632
HM148	1.33778253393633
HM149	2.65028253393631
HM150	2.18778253393632
HM151	NA
HM152	2.80028253393632
HM153	2.30028253393632
HM154	2.10028253393632
HM155	1.86278253393632
HM156	0.950282533936338
HM157	2.75028253393633
HM158	NA
HM159	2.25028253393632
HM160	3.02528253393631
HM161	0.787782533936323
HM162	3.10028253393632
HM163	1.15028253393631
HM164	2.38028253393632
HM165	0.737782533936323
HM166	2.65028253393632
HM167	1.15778253393631
HM168	2.36778253393632
HM169	2.70028253393632
HM170	1.23778253393632
HM171	NA
HM172	1.51778253393631
HM173	1.91278253393632
HM174	NA
HM175	2.58278253393632
HM176	2.83778253393632
HM177	2.38778253393632
HM178	2.83278253393632
HM179	3.21278253393633
HM180	2.95028253393632
HM181	2.20028253393632
HM182	2.60028253393632
HM183	2.38778253393632
HM184	1.05028253393632
HM185	2.65028253393632
HM186	2.17528253393632
HM187	2.70028253393632
HM188	1.07927606030907
HM189	0.800282533936322
HM190	2.70028253393632
HM191	2.80028253393632
HM192	0.93778253393632
HM193	3.1626093936424
HM194	1.35028253393632
HM195	2.90028253393632
HM196	1.95028253393632
HM197	1.25028253393632
HM198	3.41278253393632
HM199	2.75028253393632
HM200	2.20028253393632
HM201	3.00028253393632
HM202	1.36778253393632
HM203	2.75028253393632
HM204	NA
HM205	1.60028253393632
HM206	3.36278253393631
